State,VoterTurnout
Alabama,58.9
Alaska,58.9
Arizona,52.9
Arkansas,50.5
California,55.2
Colorado,70.3
Connecticut,60.9
Delaware,62.7
District of Columbia,61.9
Florida,63.5
Georgia,58.4
Hawaii,44.2
Idaho,59.6
Illinois,58.9
Indiana,55.1
Iowa,69.9
Kansas,56.8
Kentucky,55.3
Lousiana,60.4
Maine,68.1
Maryland,66.2
Massachusetts,66.3
Michigan,64.7
Minnesota,75.7
Mississippi,59.7
Missouri,62.5
Montana,62.6
Nebraska,60.1
Nevada,57.1
New Hampshire,70.1
New Jersey,61.9
New Mexico,54.7
New York,53.2
North Carolina,64.6
North Dakota,60.5
Ohio,64.6
Oklahoma,49.2
Oregon,63.2
Pennsylvania,59.4
Rhode Island,58.0
South Carolina,56.6
South Dakota,59.4
Tennessee,52.2
Texas,49.7
Utah,55.4
Vermont,60.4
Virginia,66.4
Washington,64.1
West Virginia,46.3
Wisconsin,72.5
Wyoming,58.9